  No.   E(hr.)    dos(hr.)       E(eV)          dos(eV)    sum
    956  -0.3843     18.76511646     -8.7096    0.6896053105    1.7560
    966  -0.3833     18.04389308     -8.6824    0.6631008400    1.7743
    976  -0.3823     16.81931989     -8.6552    0.6180986054    1.7917
    986  -0.3813     16.32354068     -8.6279    0.5998790554    1.8084
    996  -0.3803     14.56766249     -8.6007    0.5353517224    1.8238
   1006  -0.3793     14.07381430     -8.5735    0.5172031361    1.8380
   1016  -0.3783     12.97517414     -8.5463    0.4768288549    1.8516
   1026  -0.3773     12.39057620     -8.5191    0.4553452767    1.8643
   1036  -0.3763     12.10648964     -8.4919    0.4449052880    1.8767
   1046  -0.3753     10.75041087     -8.4647    0.3950703128    1.8880
   1056  -0.3743     10.38770747     -8.4375    0.3817412085    1.8984
   1066  -0.3733      9.63297567     -8.4102    0.3540053265    1.9086
   1076  -0.3723      9.12575896     -8.3830    0.3353654563    1.9179
   1086  -0.3713      8.80413211     -8.3558    0.3235458874    1.9268
   1096  -0.3703      7.93753121     -8.3286    0.2916988915    1.9353
   1106  -0.3693      7.16405023     -8.3014    0.2632739898    1.9428
   1116  -0.3683      7.08967656     -8.2742    0.2605408081    1.9498
   1126  -0.3673      6.43964534     -8.2470    0.2366526014    1.9567
   1136  -0.3663      5.98192839     -8.2198    0.2198318135    1.9629
   1146  -0.3653      5.34904699     -8.1926    0.1965738512    1.9685
   1156  -0.3643      5.05373012     -8.1653    0.1857211563    1.9738
   1166  -0.3633      4.28225625     -8.1381    0.1573700146    1.9784
   1176  -0.3623      4.22095272     -8.1109    0.1551171513    1.9826
   1186  -0.3613      3.73764735     -8.0837    0.1373560068    1.9867
   1196  -0.3603      2.92702451     -8.0565    0.1075661669    1.9900
   1206  -0.3593      2.44768922     -8.0293    0.0899509197    1.9927
   1216  -0.3583      3.36114178     -8.0021    0.1235196822    1.9950
   1226  -0.3573      1.08752564     -7.9749    0.0399658300    1.9978
   1236  -0.3563      0.81600732     -7.9477    0.0299877160    1.9987
   1246  -0.3553      0.55167814     -7.9204    0.0202737979    1.9994
   1256  -0.3543      0.28949077     -7.8932    0.0106385895    1.9998
   1266  -0.3533      0.05897500     -7.8660    0.0021672913    2.0000
   1276  -0.3523      0.20764336     -7.8388    0.0076307528    2.0001
   1286  -0.3513      0.47680315     -7.8116    0.0175221924    2.0004
   1296  -0.3503      0.74822625     -7.7844    0.0274968076    2.0010
   1306  -0.3493      1.02191268     -7.7572    0.0375545983    2.0019
   1316  -0.3483      3.14245734     -7.7300    0.1154831771    2.0041
   1326  -0.3473      2.42665103     -7.7028    0.0891777806    2.0068
   1336  -0.3463      2.95181579     -7.6755    0.1084772294    2.0095
   1346  -0.3453      3.72440018     -7.6483    0.1368691820    2.0128
   1356  -0.3443      4.46205842     -7.6211    0.1639776225    2.0170
   1366  -0.3433      4.57542110     -7.5939    0.1681436241    2.0214
   1376  -0.3423      5.55670029     -7.5667    0.2042049692    2.0265
   1386  -0.3413      5.73223488     -7.5395    0.2106557465    2.0321
   1396  -0.3403      6.58131244     -7.5123    0.2418587713    2.0383
   1406  -0.3393      7.82016353     -7.4851    0.2873857089    2.0455
   1416  -0.3383      7.87907503     -7.4579    0.2895506666    2.0533
   1426  -0.3373      9.24201074     -7.4306    0.3396376304    2.0618
   1436  -0.3363      9.73845403     -7.4034    0.3578815847    2.0713
   1446  -0.3353     11.54057888     -7.3762    0.4241084513    2.0818
   1456  -0.3343     12.77979785     -7.3490    0.4696489086    2.0943
   1466  -0.3333     14.49864855     -7.3218    0.5328155066    2.1079
   1476  -0.3323     16.45823635     -7.2946    0.6048290299    2.1231
   1486  -0.3313     21.63812278     -7.2674    0.7951863454    2.1420
   1496  -0.3303     28.26991241     -7.2402    1.0389001191    2.1660
   1506  -0.3293     58.82638276     -7.2129    2.1618296924    2.2079
   1516  -0.3283     44.83139298     -7.1857    1.6475233044    2.2641
   1526  -0.3273     35.38401318     -7.1585    1.3003385002    2.3032
   1536  -0.3263     30.59513044     -7.1313    1.1243503057    2.3361
   1546  -0.3253     28.26943107     -7.1041    1.0388824300    2.3654
   1556  -0.3243     25.93885071     -7.0769    0.9532351815    2.3925
   1566  -0.3233     24.78121678     -7.0497    0.9106929193    2.4178
   1576  -0.3223     23.18700881     -7.0225    0.8521068569    2.4418
   1586  -0.3213     22.35332678     -6.9953    0.8214696074    2.4645
   1596  -0.3203     21.63539990     -6.9680    0.7950862812    2.4866
   1606  -0.3193     20.81591063     -6.9408    0.7649706060    2.5077
   1616  -0.3183     20.15721172     -6.9136    0.7407638675    2.5282
   1626  -0.3173     19.67635633     -6.8864    0.7230927578    2.5482
   1636  -0.3163     18.95671533     -6.8592    0.6966464390    2.5674
   1646  -0.3153     18.59953369     -6.8320    0.6835202559    2.5862
   1656  -0.3143     18.28041330     -6.8048    0.6717927980    2.6047
   1666  -0.3133     17.76187992     -6.7776    0.6527370477    2.6227
   1676  -0.3123     17.40124976     -6.7504    0.6394841337    2.6403
   1686  -0.3113     17.21969391     -6.7231    0.6328120792    2.6575
   1696  -0.3103     16.62887172     -6.6959    0.6110997641    2.6745
   1706  -0.3093     16.40582094     -6.6687    0.6029027994    2.6910
   1716  -0.3083     16.17435426     -6.6415    0.5943965557    2.7073
   1726  -0.3073     16.08672478     -6.6143    0.5911762317    2.7235
   1736  -0.3063     15.59179445     -6.5871    0.5729878775    2.7393
   1746  -0.3053     15.36799167     -6.5599    0.5647632771    2.7547
   1756  -0.3043     15.17735928     -6.5327    0.5577576661    2.7700
   1766  -0.3033     14.95415382     -6.5055    0.5495550166    2.7851
   1776  -0.3023     14.69858827     -6.4782    0.5401631559    2.7999
   1786  -0.3013     14.56576971     -6.4510    0.5352821639    2.8145
   1796  -0.3003     14.38313649     -6.4238    0.5285705168    2.8290
   1806  -0.2993     14.14792511     -6.3966    0.5199266579    2.8433
   1816  -0.2983     13.88508104     -6.3694    0.5102673166    2.8573
   1826  -0.2973     13.75137255     -6.3422    0.5053536202    2.8711
   1836  -0.2963     13.61179889     -6.3150    0.5002243826    2.8848
   1846  -0.2953     13.48507460     -6.2878    0.4955673511    2.8984
   1856  -0.2943     13.31247939     -6.2605    0.4892245942    2.9118
   1866  -0.2933     13.09676706     -6.2333    0.4812973120    2.9249
   1876  -0.2923     12.96478149     -6.2061    0.4764469318    2.9380
